Plot,Acalypha,Aegiphila,Aequatorium,Agouticarpa,Aiouea,Alchornea,Allophylus,Alsophila,Andira,Aniba,Annona,Aphelandra,Ardisia,Axinaea,Bactris,Banara,Beilschmiedia,Bellucia,Billia,Blakea,Boehmeria,Brachyotum,Brosimum,Brownea,Browneopsis,Brunellia,Bunchosia,Calatola,Calyptranthes,Capparidastrum,Carapa,Carica,Casearia,Castilla,Cavendishia,Cecropia,Cedrela,Ceroxylon,Cestrum,Chamaedorea,Chrysochlamys,Chrysophyllum,Cinchona,Cinnamomum,Citharexylum,Citronella,Citrus,Clarisia,Clavija,Cleome,Clethra,Clusia,Coccoloba,Conostegia,Cordia,Cordiera,Cornus,Coussapoa,Coussarea,Critoniopsis,Croton,Cuatresia,Cupania,Cyathea,Cybianthus,Dacryodes,Daphnopsis,Delostoma,Dendropanax,Dendrophorbium,Dicksonia,Discophora,Duroia,Dussia,Elaeagia,Endlicheria,Erythrina,Escallonia,Eschweilera,Eugenia,Faramea,Ficus,Freziera,Gaiadendron,Garcinia,Geissanthus,Geonoma,Gloeospermum,Gordonia,Graffenrieda,Grias,Guapira,Guarea,Guatteria,Guettarda,Gustavia,Handroanthus,Haydenoxylon,Hedyosmum,Heisteria,Helicostylis,Heliocarpus,Henriettea,Hieronyma,Hippotis,Hirtella,Huertea,Idiopappus,Ilex,Indeterminada,Indeterminado,Inga,Iochroma,Iriartea,Jacaratia,Juglans,Licania,Licaria,Lozanella,Lozania,Macrolobium,Magnolia,Matisia,Maytenus,Meliosma,Meriania,Miconia,Monnina,Morus,Myrcia,Myrcianthes,Myriocarpa,Myrsine,Naucleopsis,Nectandra,Neea,Ochroma,Ocotea,Oreopanax,Ossaea,Otoba,Palicourea,Panopsis,Pentagonia,Persea,Pholidostachys,Phragmotheca,Phytelephas,Piper,Pittoniotis,Pleurothyrium,Posoqueria,Poulsenia,Pourouma,Pouteria,Prestoea,Protium,Prunus,Pseudolmedia,Psychotria,Randia,Rauvolfia,Rhodostemonodaphne,Richeria,Roupala,Ruagea,Salacia,Sapium,Saurauia,Schefflera,Sessea,Simarouba,Siparuna,Sloanea,Socratea,Solanum,Sorocea,Sphaeropteris,Spirotheca,Stylogyne,Styrax,Swartzia,Symplocos,Tabernaemontana,Tapirira,Tetrorchidium,Theobroma,Tournefortia,Tovomita,Trema,Trichilia,Trichospermum,Triplaris,Turpinia,Urera,Vallea,Varronia,Verbesina,Viburnum,Virola,Vismia,Weinmannia,Wettinia,Zanthoxylum
BECL_01,,0.103906607,,,,,,,,,,0.002042821,,1.076343417,,,0.090258742,,,,,,,,,,,,,,,,,,,,,,0.164116015,0.007330121,0.075633843,,,,0.075476764,0.03379961,,,,,0.047529155,0.036983614,,,,,0.034636059,,,,1.210907252,,,0.905940289,,,,,,,,,,,,,0.029802719,,,,,,0.03630503,,,0.133362179,,,,,,,0.005608528,,,,,,0.026939942,,,,,0.037852265,,,0.003525652,,,,,,,,,,,,0.002551759,,,,,,0.017031359,0.068190625,2.797814457,,,,0.046376976,,,,0.21395424,,,0.183984232,0.012083351,,,0.003318307,,,,,,,,,,,,,,0.026785219,,,,,,,0.005489147,,,,,0.222727923,0.296156368,,,,0.016230253,,,0.008992024,,0.058775272,,,,,,,,,,,,,,,,0.003959192,,,,,,,,0.13994303,,
BECL_03,,0.08576548,,,,,,0.012271846,,,,,0.012257709,,,,,,,,,,,,,,,,,,,,,,,,,,0.004778362,0.017796336,,,,,,,,,,,,,,,,,,,,0.037097497,2.16493119,,,1.154154382,,,,,,,,,,0.007238229,,,,,,,0.010751315,,,,,0.040455858,,,,0.008574191,,,0.058582849,,,,,,,,,,,,,,,,,,,0.004071504,0.07155684,,,0.098422956,,,,,,,,,,0.430464168,0.526268608,,0.014526724,,,,,,0.362237414,,,0.078795071,,,,0.010155198,,,,,,,,,,,,,,,,,,,,,,,,0.009331316,,0.1788116,0.664406005,,,,0.037593083,,,,,0.018146625,,,,,,,,0.118069692,,,,,0.507693939,,,0.044488094,,,,,,,,,,0.017436625
CEDR_01,,,,,0.006939778,,,,,,,,0.119618496,0.554650539,,,0.082798245,,,,,,,,,0.112413254,,,,,,,0.040429156,,,,,,,,0.027807022,,,,,,,,,,,0.472258346,,,,,0.682803173,,,0.010618583,,,,0.127349957,,,,0.007853982,,0.018626503,,,,0.004656626,,,0.175095881,,,,,0.024884555,,,,0.076028113,0.002642079,,,,,,0.361701771,,,,,0.03503347,0.234238719,,,,,0.832340626,,,,,,0.058567927,,,0.014244767,,,,,,,,,,,,0.289448282,1.129419838,0.347581097,,0.057680427,0.026026524,0.121498739,0.002463009,0.069511664,,,,,0.481844129,0.100710821,,,0.084549682,,,0.005755398,,,,0.040013681,,0.006503882,,,,,,,0.020223218,,,,,,,,0.113768065,,0.558279863,0.091966198,,,,0.038380052,,,,,,,,,,0.002463009,,,,,,,,,,,0.244865157,0.047734929,,,0.020293117,,,,3.010555254,,
CEDR_03,,,,,,0.367971605,0.008794103,,,,,,0.003318307,,,0.005862998,0.471564053,,0.488615048,0.492198033,,,,,,,,,,,,,0.011623108,,,,,,,,1.923994594,,0.224133787,,,0.065239884,,,,,,0.002375829,,,,,,,,0.840936023,0.112815378,,,0.141193382,,,,,,,,,,0.013478218,,0.111847768,0.17006305,,,,0.119821913,0.81488908,,,,0.013273229,0.00490167,,0.662303495,,,,0.047147452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031515672,0.074930127,0.384429625,,0.787792843,0.057506069,,0.033099036,,,1.250437915,,,0.057212329,0.073049884,0.002375829,,0.402047677,,,,,,,,,,,,,,0.00430084,,0.14699669,,,,,,,,0.014390066,,0.118641461,0.013478218,,,,,,,,,,,,,,,,,,,,,0.047747497,,,,0.069845459,,,0.108432856,,,,,0.546668537,,
INTI_01,,0.131894269,,,0.007269645,,0.003117245,0.020106193,,,,,,,,,0.017203361,,,,0.055796256,,,,,,0.003019071,,,,,,0.015614501,,,0.17125607,0.01517782,0.477873942,0.005259812,,0.032318349,,0.397462522,,,,,,0.016011127,,,,,,0.618326697,,,,,0.184914144,,0.067316475,,0.079915048,,,,,0.472819119,,,,,,0.343054063,,,,,,,0.355751596,,,,,,,,,,,0.002733971,,,,,,0.155549676,,,,,0.043772595,,,,,,,,0.844039916,,,,,,,,,,,,,0.034464842,0.096062835,0.05473911,,0.479450236,,,,,,1.497906667,,,2.06812144,,,,0.037044876,,,,,,,0.122952508,0.156176425,,,,,,0.5115683,,,,,,,,,,,0.025730429,0.333224021,0.163460992,,,,,,,0.013110651,,,,,,,0.346364517,,,0.03373992,,,0.06855662,,,,,,,,,0.027759113,,,,,,
INTI_02,,0.078587726,,,0.126718495,,,0.054743822,,,,,,,,,,,,,0.033282033,,,,,,0.134039977,,,,0.002375829,0.002551759,0.021124069,,,0.340675092,,0.498760822,0.003019071,,0.005972168,,0.129172865,,,,,,0.048060869,,,0.022230695,,,0.94210159,,,,,0.46749255,,0.072127042,,0.078341896,,,,,,,,,,0.079422604,0.853500824,,,,,,,0.493588187,,,,,,,,,,,,0.003019071,,,,,0.127725376,,,,,0.017591348,,,0.006082123,,,0.004669192,,0.419535351,,,,,,,,,,,,,0.014700297,0.006221139,0.084496276,,,0.15780377,0.004778362,,,,0.642696814,,,0.889545102,,0.002123717,,0.093993311,,,0.085012283,,,,0.050333026,0.061631764,,,,,,1.124013931,,,,0.01054397,,,,,,0.030243327,,0.435102729,0.09727549,,,,0.005152997,,,0.009921936,,,,,,,0.072339098,,,0.028113327,,,0.004778362,,,,,,,,,,,,,,,
MALO_01,,,,,,0.048695472,0.051526044,,0.035968094,,0.077437117,,0.014276967,,,,,,,,,,,,,,,0.308452564,0.013069811,,,,,,,0.332844674,,,,,0.028352874,0.019855651,,,,,,,,,,,0.023778715,0.002733971,0.106115931,0.015394589,,,0.308718026,0.13449865,0.087143068,,,,,0.148809391,,,,,,,,0.106940599,,,,,0.252432467,0.115852513,0.049850006,0.14311761,,,0.021642432,0.020352022,,,,0.030577907,,,0.453328678,0.200296167,,0.118345366,,0.002042821,,,0.090582327,,0.027243892,0.019991524,,,0.004185387,,,0.23585821,0.037326833,0.043050814,,,,,0.403707222,,,,0.07016433,,0.066515371,,0.021102863,,0.654588529,,,,,,,0.361015335,0.005152997,0.002290221,,0.813691349,,0.015905098,0.034899168,0.02737898,0.061575216,0.003848451,,0.182501402,,,0.009581857,,,0.002206183,,,,0.002042821,0.30741191,,,0.02507855,,,,0.218061872,,,0.52962854,0.129924491,0.00783356,,,0.29705722,,,0.078298699,,,,,0.005851216,,,,0.002733971,,0.293978459,,,0.005815873,,,,,0.035298935,,,,,,0.051265295,,,0.326879574,0.018145839
MALO_02,,,,0.053845327,0.231145821,,,,,,0.029864765,,,,0.026141978,,0.068813445,0.535653331,,0.006082123,,,0.687298791,0.015614501,0.183527918,,,,,,0.032260229,,0.003959192,,,,,,,,0.003959192,,,,,,,,,,,,0.20232642,0.013701271,0.019064755,,,,0.090694638,,0.052045194,,,0.005152997,,0.874580125,0.002733971,,,,,0.002922467,0.083161884,0.003117245,,,,,0.449058467,0.183468224,0.12868592,0.009676891,,,0.087677139,0.03079075,,0.59758433,,,0.015863473,,0.924719157,0.076453799,,0.156717564,,,0.016933184,0.047284896,,,0.049688214,0.088405203,0.002642079,0.013684778,0.001963495,,,,,0.642626131,,,,,0.603500733,0.139204756,,,,0.401515176,0.202530624,,,,0.345445598,,,0.144340475,,,,0.556832375,,,,0.832853492,,0.002827433,0.580702196,,,0.003525652,,0.028480893,0.045874322,,0.01219959,,,,,,0.173807043,,0.219115092,,0.0046849,,,,0.003959192,0.013789236,,0.005674502,0.002375829,,,,,0.371763508,0.002290221,,0.032365473,,0.063285813,,,,,0.016565618,,,,0.013041536,,,0.073709618,,0.041909631,,,,,,,,,0.266890077,,,0.041721921,
MAPI_01,0.001963495,0.826299344,,,,0.002733971,0.018683837,0.015393804,,,,,,,,,,,,,,,0.005950962,,,,0.015130696,,,,,,0.002375829,1.09485211,,0.081571453,,,,,,0.002551759,,,,,,0.227328786,,,,,0.006739501,0.631730298,0.053912872,,,0.069402494,,,,,,0.005026548,,0.021256801,,,,,,,,0.043687773,,,,,,,,0.033256114,,,,0.006029502,,,,,0.009664324,0.046759465,,0.002290221,0.020970916,,0.295924676,,,,,,,,,,,,,,,0.838144718,,0.676921325,0.030822951,,,,,,,,,,,,0.315295735,,,,,,,,0.015614501,,0.609796486,0.002123717,,,0.182765295,0.037737599,,,,0.00453646,,,0.010295784,,,,0.005281017,0.338828622,,,,,,,0.005944679,,0.049139222,,,,,0.007853982,0.025907929,,,,,0.059807285,,,0.016741547,,,,,,,,0.00664761,,0.169436302,,,0.231573863,0.00453646,,0.110368077,,,,,,,0.271702998,,,1.235623732,
MAPI_02,,0.021756315,,,,0.003216991,0.003848451,,,,0.043743536,,,,0.055038348,,,,,,,,0.446532629,,,,,,,,0.057725195,,0.063046266,0.253388297,,0.036339588,,,0.00490167,,,0.04948087,,,,,,,,,,,,0.340831387,,,,0.033006358,,,,,,0.042429564,,0.848970647,,,0.021903969,,,,,0.056217231,,,,,0.004087212,,,0.010833783,,,,0.002642079,,,,0.05830796,0.018947731,,0.050042431,0.003739281,,,,,,,,,,,,,,,,0.002290221,,0.271132012,,,0.041853868,,,,,0.003525652,,,0.031823547,,,,0.063314872,,,,,,,0.005410608,0.201475049,,0.194000415,0.003739281,,,1.109774673,0.028948991,,,,0.01105605,,,0.002733971,,0.025837441,,,2.664982417,,0.02255428,,,0.004778362,,0.003318307,0.039486677,0.003216991,,,,,,,,,,,,,,0.009095696,,,,0.076944673,,,,,0.015724457,0.174328549,,0.006361725,,0.005674502,0.18020254,,0.126189138,,,,,,0.253683606,,,0.362906571,0.038013271
MIND_01,,,,,0.025730429,,,0.038490794,,,0.008172068,,0.015910596,,,,0.267129624,,,0.011751128,,,,,,,,,,0.035672,,,0.005944679,,,0.070543677,,,,0.002290221,0.175732839,,,0.088668311,,,,,,,,,,,0.002375829,,,0.235121507,,0.027998659,,,0.004417865,0.070495769,,0.641276816,,,1.164593111,,,,,0.015043517,,,,,,,0.190931857,0.110624116,,,,,,,,0.024605739,,,,0.002922467,,,,,0.376281117,0.335532305,,0.166298637,,0.378089105,,,0.44680359,,,,,0.220387438,,,,,,,,,,,,,0.057140859,0.024884555,0.052964895,,,0.07029235,0.002123717,,,,0.458281399,,0.04801139,0.537057619,,,,0.059771943,,,0.341354462,,,0.477221275,0.056890314,,0.010028749,,,,,,,0.001963495,,,,,,,0.7705078,,,0.188047097,0.463269463,,,0.046025118,,,,0.009189158,,,0.66645825,,,,,,,0.002922467,,,0.017655751,0.022431757,,,,0.036220992,,,,,,,,0.026541746,,0.007088218
RIBR_01,,0.047665029,,,0.044862728,0.168195373,0.010186614,0.09955236,,0.135917865,0.03178899,,,0.072081487,,0.173638967,,,,,,,,,,,,0.040122066,,,,,0.002827433,,,0.070962295,,,,,,,,,,,0.001963495,,0.011127521,,,0.010935884,,,,,0.039444267,,,0.084764882,,0.002463009,,0.304838948,0.008951969,,,,0.003216991,,,,,0.050670748,,,0.032897187,,0.055708291,0.203588557,0.008635452,0.048393093,,,,0.030166358,,,,,,,0.030760904,0.016014269,,,,0.011882289,1.079560405,0.005694136,,,,0.021353405,,,,,0.091582139,,,0.251770378,,,,,,,,,,,,0.002123717,0.019378914,0.193266852,2.957830688,,0.088758632,0.145295519,0.011174645,,,,0.02593856,,,0.354922217,0.021888262,,0.250483895,0.01271481,,,0.129146161,,,,,,,,,,,0.008304014,,,,0.002733971,,,,,,,,0.068165493,0.190565083,,,,,,,,0.002375829,0.359116243,,0.006624048,,,,,,,,,,,,,,0.057255526,,,,,,,0.239216573,,,0.07157255
VERD_01,,0.253447202,,,,,,,,,,,,1.077778338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002290221,0.016660651,,,,,,,,,0.015243793,,,,1.235970095,,,,,,,,,,,,,,0.043064952,,,,,,,,1.928164269,,,,,,,,,,,,,1.521309179,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.009848462,,,,0.344468566,,,,,,,0.406760066,0.02311741,,,,,,,,,,0.089787503,,,,,,,,,0.29649566,,,,,,,,,,,0.013682422,0.598210291,,,,,,0.006770918,,,,,,,1.324086272,,,,,0.009749932,,,,,,,,,,0.148054624,0.088856805,,,0.165254844,,
VERD_02,,0.517725833,,,,,,,,,,,,0.139492998,,0.037285993,,,,,0.069585492,,,,,0.085012283,,,,,,,,,,,,,0.047637541,,,,,,0.147890475,,,,,,0.026663483,,,,,,,,,0.027458305,,,,0.116013521,,,,,,0.071347925,0.039175661,,,,,,,,,,,,0.942463658,,,0.041756479,,,0.029559245,,,,,,,,,,1.118737637,,,,,,,,,0.005944679,0.037531823,0.004417865,,,,,,,,,0.074365426,,,,,,0.040649853,,0.800485661,,,,0.009331316,,,,,,,0.026302199,0.282916126,,,0.0479839,,,,,,,0.02809055,,,,,,,,,0.025102896,,,,,,,,0.003848451,,0.011282245,1.918019284,0.002375829,0.021109147,,0.022708216,,,,,,,,0.004071504,,0.002642079,,,,,,,,,,,0.244321661,,,,0.314046953,,,,0.435438879,,
VERD_03,,0.032519411,,,,,,,,,,,,0.230288167,,,,,,,,,,,,,,,,,,,,,0.009676891,,,,,,,,,,,,,,,,0.009852035,,,,,,,,,0.026016314,,,,0.098883984,,,,,,0.007088219,,,,,,,,,,,,,0.820610705,0.005674502,,0.231342169,,,,,,,0.060262816,,,,,,3.077193933,,,,,,,,,,0.205366698,,,,,,,,,,,,,,,,0.151939202,,0.308502826,,,,0.079239606,,,,,,,0.181774907,0.08065882,,,0.155802577,,,,,,,0.09757787,,,,,,,,,0.123539989,,,,,,,,0.095999217,,0.051777374,1.601518747,,,,0.17304442,,,,,,,,,,0.002375829,,,,,0.185564453,,,,,,0.108487049,,0.003117245,,0.035123791,0.123971957,,,0.53179074,,
YANA_01,,,0.055057981,,,,,,,,,,,1.163737028,,,,,,,,0.101390189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008011847,,,,,,,,,,,,,,0.738915944,,,,,,,,0.002042821,,,,,,,,,,,,,0.204044087,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.633313454,0.005410608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357847038,0.021382465,,,,,0.128359978,,,,,,,,,,,,0.103999284,,,,,,,,,,0.236078907,,,,,,
