PLOT,Elevationmasl,N_Individuals,AGC,AGCnc,AGCp,AGC_k,AGC_V,AGN,COS,RichnessS,Almgkg,MgmgKg,Pmgkg,Kmgkg,CamgKg_2019_2,Cnratio,C_2019_2,MO_2019_2,N,BasalArea_2019m2,Mean_DAP_2019cm,Mean_SQR_DAP_2019,Mean_WD,BETA20192015,FEve,FDiv,FRic,FDis,FDHill_numbrs,CWM.LA,CWM.SLA,CWM.Ht,PCA1_temp,AP,SR,H,rarefiedSR,TD       (n),MDT (�C),minDT (�C),PC1.p,PC2.p,Mean(Hr),Min(Hr),minDHr,Hill_Diversity,C_N_NL,N_NL,C_NL,S_NL,DA_NL
ECPI_MAPI_02,632,364,80.07,1.69,2.11,0.397356288,0.040328783,4.8,47.0234735,83,37336.37,1340.785,354.146667,143.496667,2495.155,9.11333333,4.36333333,7.522386661,0.48,8.546351152,13.4477394,3.47763298,0.504937773,-0.078336,0.372487,0.6183553,0.004463619,0.10270402,3.945173,522.968141,130.07176,22.965006,3.8211,2111,79,13.39,62.52237,364,23.43,22.23,0.705064444,0.209005069,99.97713046,96.51,99.73823307,34.939854,11.16,0.54,6.155,0.14166667,0.56666667
ECPI_MAPI_01,653,356,84.8,2.03,3.04,1.016334175,0.054251284,6,33.6803456,84,28612.12,730.47,243.193333,41.9566667,686.05,4.87666667,3.44,5.93056,0.71666667,8.841593121,14.0501362,3.55016304,0.514331913,-0.0951725,0.31893,0.8180912,0.013417817,0.19620451,4.593508,193.675193,208.076932,19.444933,3.8211,2075,77,13.75,59.88269,356,23.43,22.23,0.705064444,0.209005069,99.97713046,96.51,99.73823307,21.288864,11.31,0.44166667,5.03333333,0.10833333,0.56666667
ECPI_MALO_02,827,406,157.57,2.42,2.77,0.443164185,0.048446415,11.46666667,56.8654171,113,23181.78,692.103333,252.356667,65.0233333,443.903333,8.17333333,4.95,8.5338,0.61,12.06560939,14.1817102,3.50831354,0.599781244,-0.0419394,0.095691,0.8019033,0.007310067,0.17033497,4.130708,203.478732,149.805677,16.706622,3.1974,2253,108,13.15,82.75256,406,20.72,19.65,0.998411422,0.153812048,99.88772931,92.96,99.05663399,65.672215,13.87,0.54166667,7.91833333,0.14833333,0.46666667
ECPI_MALO_01,1018,378,96.58,0.92,2.87,2.143090465,0.024375318,10.62222222,56.4730244,108,21374.3733,510.723333,173.03,57.2233333,393.216667,11.88,4.16,7.17184,0.35,8.832387469,14.155643,3.57795812,0.56896028,-0.0405773,0.538941,0.5985443,0.007885979,0.13376885,5.597078,328.869927,160.217204,18.039964,2.9606,2255,101,12.43,78.3529,378,19.7,18.79,0.969310256,0.13796746,97.69588632,72.123,96.57984862,57.725558,13.84,0.40833333,5.64833333,0.12,0.53333333
ECPI_MIND_01,1277,419,91.79,1.71,2.56,0.78959462,0.129294321,4.088888889,30.1890919,95,9731.18333,770.306667,507.936667,201.926667,1390.32333,14.67,3.96,6.82704,0.28,9.674855805,13.0740654,3.40995327,0.500715403,-0.0726072,0.531726,0.6045209,0.081536171,0.21221007,3.102425,150.397042,157.858923,14.400475,2.3331,2704,86,11.52,66.63923,419,18.88,17.23,0.451773771,0.158583872,99.04882813,83.163,94.72662738,43.092741,14.53,0.55166667,8.15666667,0.165,0.76666667
ECPI_RIBR_01,1640,537,67.83,1.24,3.54,2.424639275,0.119917353,3.466666667,30.1890919,89,9731.18333,770.306667,507.936667,201.926667,1390.32333,14.67,3.96,6.82704,0.28,8.5981676,12.1392473,3.36507168,0.553331632,0.0243835,0.321275,0.7771094,0.016269792,0.23170057,1.799644,138.619527,128.383966,12.441942,1.0413,2347,86,10.55,60.29398,537,16.94,15.22,0.536938735,0.002911762,99.08601017,78.269,94.96036607,37.81401,13.09,0.31,3.995,0.085,0.43333333
ECPI_INTI_02,1829,561,66.79,0.97,1.65,0.8270962,0.117037022,5.111111111,27.2416965,76,6758.34333,891.896667,789.693333,282.22,2788.66,6.59,4.20333333,7.246546661,0.94333333,9.01742492,11.4214035,3.21991228,0.365761407,-0.0552539,0.584666,0.7738221,0.136534786,0.28739024,4.180772,210.064579,202.485858,16.177885,0.485,1939,73,10.72,47.43264,561,16.12,14.46,0.563811778,0.399114565,99.35593765,80.347,96.47786027,13.354437,11.88,0.49,5.86333333,0.09833333,0.43333333
ECPI_INTI_01,1879,435,93.61,1.58,1.66,0.311887003,0.143999735,8.666666667,55.3600239,63,7764.88333,911.446667,586.956667,160.75,3764.52667,4.97666667,4.43666667,7.648813339,0.94,10.6802597,13.5939189,3.46905405,0.422403557,-0.1401952,0.376196,0.6494775,0.035333351,0.23187637,3.66113,222.83259,169.351897,16.679615,0.4948,2076,60,10.86,46.5717,435,16.12,14.3,0.563811778,0.399114565,96.96134339,34.751,92.79242445,24.43108,12.7,0.49833333,6.27166667,0.13333333,0.73333333
ECPI_BECL_03,2203,256,63.28,1.23,1.8,0.621441323,0.077014639,2.844444444,31.5801061,45,17439.6267,1991.39667,913.766667,351.76,2956.52,5.58,2.98333333,5.143266661,0.8,6.874152658,15.0560784,3.69254902,0.541271865,-0.0302555,0.570553,0.68756,0.061911932,0.20005935,2.895545,137.775233,121.527671,21.47555,-0.7261,1595,42,10.04,40.11416,256,14.01,12.13,0.628628359,0.189244129,99.83605241,88.067,98.54898157,20.835852,12.49,0.425,5.1,0.11833333,0.6
ECPI_CEDR_03,2212,364,99.6,1.33,3.1,1.268282788,0.047512033,6.888888889,72.4761529,54,16638.2367,1449.29667,844.583333,222.27,2890.21,9.05,5.46333333,9.418786661,0.64666667,11.38197055,15.0976064,3.64053191,0.542965983,0.0080201,0.517087,0.7903105,0.032352981,0.24970713,2.321537,124.730243,148.621451,13.720211,-0.3871,1351,52,11.32,46.48727,364,14.4,12.66,0.251821993,0.562121791,99.02305897,79.54,96.30065267,32.818386,13.66,0.645,8.975,0.10166667,0.73333333
ECPI_BECL_01,2313,328,73.64,3.11,3.55,0.61538356,0.112152857,4.933333333,44.561536,46,11599.3533,1356.66,1046.37,589.733333,2725.50667,7.69333333,3.49333333,6.022506661,0.53333333,8.305007525,15.6774775,3.82753754,0.560600365,-0.1953252,0.53145,0.7947262,0.009046018,0.22742706,1.663691,78.563771,123.801499,17.064809,-0.774,1595,43,13.56,38.99309,328,13.72,12.14,0.628628359,0.189244129,98.5613714,55.541,96.81793915,19.524069,13.69,0.24666667,3.12166667,0.10166667,0.8
ECPI_CEDR_01,2492,474,84.89,0.21,1.81,1.32729957,0.103755906,5.733333333,76.1965556,59,25808.46,2395.17333,1073.28667,707.316667,2702.65667,24.2066667,7.55,13.0162,0.32,11.13192805,13.9770661,3.55626033,0.537535478,-0.0388088,0.706778,0.7379541,0.004375528,0.09898166,2.421879,71.980234,147.116527,14.788211,-0.6679,1471,66,10.08,49.91517,474,13.13,11.38,0.332718426,0.546342906,97.65394904,75.391,94.02208125,31.873534,13.73,0.48,6.55166667,0.11333333,0.76666667
ECPI_VERD_02,2932,473,46.57,0.37,0.7,0.364150478,0.071591588,6.533333333,34.9544587,51,7964.53667,1629.06333,649.753333,373.623333,2154.99333,3.46666667,2.35666667,4.062893339,0.89,7.837796149,12.2058577,3.36361925,0.522947798,-0.1081069,0.62976,0.5964333,0.005374211,0.1269698,2.324034,109.047724,165.28985,12.02353,-3.2033,1251,51,10.79,39.80275,473,10.29,7.96,0.188004732,0.158562497,99.54232774,81.717,97.06599524,23.893494,17.9,0.30666667,5.235,0.09166667,0.83333333
ECPI_VERD_03,3109,464,46.43,0.38,0.77,0.525959698,0.072009225,7.644444444,46.4055873,39,13479.6433,1132.61,328.486667,216.783333,2129.85,6.92666667,3.32,5.72368,0.59,8.925071521,12.6251599,3.37353191,0.526301362,-0.0360793,0.495217,0.520415,0.002359999,0.15250231,1.713736,99.354091,111.417133,10.839708,-3.2556,1251,39,8.51,32.95546,464,9.86,7.98,0.188004732,0.158562497,97.85390668,63.529,91.73639198,21.616764,14.37,0.40166667,5.895,0.08666667,0.76666667
ECPI_VERD_01,3421,625,69.26,0.19,1.7,1.098241723,0.085011906,6.844444444,30.2779946,32,37878.0833,1614.22333,654.296667,392.79,3397.35,4.85666667,2.74333333,4.729506661,0.76666667,10.65298911,12.540315,3.41656693,0.551968494,0.0055394,0.672984,0.6505637,0.001275229,0.08698448,1.937306,37.671549,110.633394,9.320487,-4.4778,1271,31,8.01,26.54613,625,8.31,6.33,0.14856364,0.233606648,98.53683194,63.868,94.29499796,13.650453,13.78,0.39666667,5.45833333,0.10166667,0.6
ECPI_YANA_01,3507,220,75.42,-0.13,1.08,0.511834525,0.047260167,4.311111111,19.9712311,18,2821.05667,1769.96667,393.29,250.656667,1458.82333,2.29333333,1.54333333,2.660706661,0.74333333,9.774514977,18.6438914,4.06850679,0.59000821,-0.0041158,0.631627,0.9377172,0.000331745,0.07086055,1.4036,59.606124,102.000351,13.287898,-4.6629,1337,17,11.25,17,220,7.43,5.21,0.138580699,0.301631447,99.26265901,73.896,95.97984871,7.672334,13.24,0.185,2.31666667,0.10166667,0.73333333
